,smiles,ref_iupac,pred_iupac,result
0,COC(=O)C(C1=CC(=CC=C1)Cl)NC2=CC=CC=C2Cl,methyl 2-(2-chloroanilino)-2-(3-chlorophenyl)acetate,"2,2-dichloro-N-(2-chlorophenyl)-N-(4-chlorophenyl)acetamide",False
1,C1C(=O)NC2=C(O1)C=C(C=C2)C(=O)NN,"3-oxo-4H-1,4-benzoxazine-7-carbohydrazide",2-oxiranecarboxylic acid,False
2,CC1=CC=C(C=C1)C(=O)C(C)OC2=C(C=C(C=C2)Br)Cl,2-(4-bromo-2-chlorophenoxy)-1-(4-methylphenyl)propan-1-one,4-bromo-2-chloro-5-fluorophenyl acetate,False
3,CN(C1CC2CCC(C1)N2)C3=CC=NC4=CC=CC=C43,N-(8-azabicyclo[3.2.1]octan-3-yl)-N-methylquinolin-4-amine,2-cyano-N-(4-methoxyphenyl)-3-phenylpropanamide,False
4,CCOCC1=CC=CC=C1CNC(=O)C2=CC=C(C=C2)[N+](=O)[O-],N-[[2-(ethoxymethyl)phenyl]methyl]-4-nitrobenzamide,2-chloro-N-(3-methoxypropyl)-5-nitrobenzamide,False
5,CC1=NC(=NC=C1CCC(=O)O)C2=CC=NC=C2,3-(4-methyl-2-pyridin-4-ylpyrimidin-5-yl)propanoic acid,2-chloro-N-(2-chlorophenyl)-N-(methoxycarbonyl)acetamide,False
6,CCCC1=CC=C(C=C1)C(CS(=O)C2=CC=CC=C2Cl)N,2-(2-chlorophenyl)sulfinyl-1-(4-propylphenyl)ethanamine,4-chloro-2-methylphenol,False
7,CC(C(=O)NNC(=O)NC1CC1)OCC2=CC=CC=C2,1-cyclopropyl-3-(2-phenylmethoxypropanoylamino)urea,2-chloro-N-(2-chloroethyl)-N-(2-chlorophenyl)-urea,False
8,C1=CN(C(=O)C=C1O)CC(CCO)CO,4-hydroxy-1-[4-hydroxy-2-(hydroxymethyl)butyl]pyridin-2-one,2-ethyl-1-hexanol,False
9,CC(C)C(C(=O)NCCCO)N,(2R)-2-amino-N-(3-hydroxypropyl)-3-methylbutanamide,2-chloro-N-(2-chlorophenyl)-N-(methoxycarbonyl)acetamide,False
10,CC(C)C1=CC=CC=C1C2=NC(=NC=C2)Cl,2-chloro-4-(2-propan-2-ylphenyl)pyrimidine,2-chloro-N-(2-chlorophenyl)-N-(methylamino)cyclohexan-1-amine,False
11,CC1(CCC(CC1)C(CC2=CC=CO2)N)C,"1-(4,4-dimethylcyclohexyl)-2-(furan-2-yl)ethanamine",2-chloro-N-(2-chlorophenyl)-N-(methoxycarbonyl)acetamide,False
